,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
491784,3/13/2017 7:30,3/13/2017 7:36,372.018,15th & W St NW,Massachusetts Ave & Dupont Circle NW,Subscriber
1151000,5/14/2017 10:47,5/14/2017 11:12,1553.86,15th & W St NW,15th & W St NW,Subscriber
636686,3/30/2017 13:37,3/30/2017 13:45,465.237,19th St & Constitution Ave NW,Henry Bacon Dr & Lincoln Memorial Circle NW,Customer
696556,4/5/2017 4:20,4/5/2017 4:44,1494.623,14th & G St NW,Crystal City Metro / 18th & Bell St,Subscriber
1374686,6/2/2017 8:00,6/2/2017 8:26,1535.108,Calvert St & Woodley Pl NW,8th & H St NW,Subscriber
475244,3/9/2017 22:01,3/9/2017 22:06,326.769,16th & R St NW,16th & Harvard St NW,Subscriber
63823,1/13/2017 16:24,1/13/2017 16:56,1928.811,California St & Florida Ave NW,25th St & Pennsylvania Ave NW,Subscriber
387645,2/27/2017 11:06,2/27/2017 11:16,592.091,15th & W St NW,16th & K St NW,Subscriber
973643,4/28/2017 4:48,4/28/2017 4:58,582.479,23rd & E St NW ,20th & O St NW / Dupont South,Customer
1382136,6/3/2017 2:26,6/3/2017 2:37,651.718,1st & N St  SE,1st & N St  SE,Subscriber
537615,3/20/2017 20:18,3/20/2017 20:25,454.36,New Jersey Ave & N St NW/Dunbar HS,15th & P St NW,Subscriber
1207730,5/19/2017 4:29,5/19/2017 4:46,1008.348,4th & East Capitol St NE,Columbus Circle / Union Station,Customer
1547222,6/15/2017 8:39,6/15/2017 8:45,369.604,Massachusetts Ave & Dupont Circle NW,16th & R St NW,Subscriber
326918,2/20/2017 20:36,2/20/2017 20:42,360.399,Thomas Circle,14th & R St NW,Subscriber
1056363,5/4/2017 7:20,5/4/2017 7:35,878.643,5th St & Massachusetts Ave NW,22nd & P ST NW,Subscriber
1720676,6/28/2017 9:17,6/28/2017 9:23,359.232,8th & East Capitol St NE,6th & K St NE,Subscriber
202674,2/5/2017 10:19,2/5/2017 10:31,733.653,11th & M St NW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,Subscriber
355405,2/23/2017 18:43,2/23/2017 19:00,980.047,Columbia Rd & Georgia Ave NW,8th & H St NW,Subscriber
282854,2/16/2017 10:46,2/16/2017 11:03,976.453,Key Blvd & N Quinn St,21st & I St NW,Subscriber
1723628,6/28/2017 12:49,6/28/2017 2:12,4973.564,17th St & Independence Ave SW,12th & Army Navy Dr,Customer
855894,4/17/2017 4:37,4/17/2017 4:58,1209.18,10th St & Constitution Ave NW,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Customer
1252677,5/23/2017 1:09,5/23/2017 1:31,1283.526,Massachusetts Ave & Dupont Circle NW,M St & Pennsylvania Ave NW,Customer
29030,1/7/2017 10:53,1/7/2017 10:56,178.471,10th & Florida Ave NW,7th & T St NW,Subscriber
1228552,5/20/2017 9:57,5/20/2017 10:02,341.438,11th & O St NW,10th & E St NW,Subscriber
470438,3/9/2017 16:36,3/9/2017 16:41,306.47,Saint Asaph & Madison St,Market Square / King St & Royal St,Subscriber
288933,2/17/2017 9:57,2/17/2017 10:06,536.324,39th & Calvert St NW / Stoddert,37th & O St NW / Georgetown University,Subscriber
336335,2/22/2017 6:18,2/22/2017 6:36,1038.205,Georgia & New Hampshire Ave NW,17th & K St NW,Subscriber
1719099,6/28/2017 8:28,6/28/2017 8:35,419.369,12th & Army Navy Dr,23rd & Crystal Dr,Subscriber
1125931,5/12/2017 1:46,5/12/2017 1:55,559.722,4th & E St SW,Eastern Market / 7th & North Carolina Ave SE,Subscriber
1714972,6/28/2017 6:32,6/28/2017 6:57,1474.717,4th St & Madison Dr NW,4th & C St SW,Customer
1137424,5/13/2017 8:01,5/13/2017 8:07,334.85,18th & R St NW,14th & R St NW,Subscriber
1570114,6/17/2017 7:07,6/17/2017 7:12,335.34,12th & Army Navy Dr,S Joyce & 16th St S,Subscriber
750954,4/10/2017 3:16,4/10/2017 3:42,1553.566,17th St & Independence Ave SW,Jefferson Memorial,Customer
230922,2/8/2017 15:06,2/8/2017 15:11,302.649,18th St & Pennsylvania Ave NW,14th St & New York Ave NW,Subscriber
1081787,5/7/2017 9:54,5/7/2017 9:59,279.474,Columbia Rd & Georgia Ave NW,9th & Upshur St NW,Subscriber
268074,2/14/2017 10:24,2/14/2017 10:31,397.716,12th & L St NW,8th & D St NW,Subscriber
73418,1/15/2017 19:11,1/15/2017 19:23,754.611,1st & Rhode Island Ave NW,New Hampshire Ave & T St NW,Subscriber
311803,2/19/2017 15:11,2/19/2017 16:43,5499.33,Calvert St & Woodley Pl NW,Wisconsin Ave & O St NW,Customer
200904,2/4/2017 17:26,2/4/2017 18:09,2578.356,Offutt Ln & Chevy Chase Dr,34th & Water St NW,Subscriber
1418512,6/6/2017 2:46,6/6/2017 2:50,254.908,14th & L St NW,17th & K St NW / Farragut Square,Subscriber
682399,4/4/2017 2:36,4/4/2017 2:49,768.459,21st & M St NW,C & O Canal & Wisconsin Ave NW,Customer
1278507,5/25/2017 6:15,5/25/2017 6:18,183.889,M St & Delaware Ave NE,2nd & G St NE,Subscriber
1376305,6/2/2017 8:50,6/2/2017 9:00,609.923,10th & U St NW,10th & G St NW,Subscriber
1632386,6/22/2017 7:23,6/22/2017 7:42,1131.742,Lincoln Park / 13th & East Capitol St NE ,Lincoln Park / 13th & East Capitol St NE ,Subscriber
685849,4/4/2017 5:49,4/4/2017 5:52,216.879,20th & O St NW / Dupont South,17th & Corcoran St NW,Subscriber
336795,2/22/2017 7:21,2/22/2017 7:31,547.389,Columbus Circle / Union Station,L'Enfant Plaza / 7th & C St SW,Subscriber
528116,3/19/2017 18:29,3/19/2017 18:35,372.127,Connecticut & Nebraska Ave NW,Van Ness Metro / UDC,Subscriber
1121261,5/10/2017 12:11,5/10/2017 12:24,801.625,Monroe Ave & Leslie Ave,Ballenger Ave & Dulaney St,Subscriber
1535174,6/14/2017 9:44,6/14/2017 10:08,1408.037,15th & W St NW,Massachusetts Ave & Dupont Circle NW,Customer
1115765,5/10/2017 7:25,5/10/2017 7:50,1505.787,Park Rd & Holmead Pl NW,4th St & Madison Dr NW,Subscriber
1320802,5/29/2017 4:00,5/29/2017 4:11,643.934,17th & Corcoran St NW,15th & K St NW,Subscriber
1660791,6/24/2017 9:14,6/24/2017 9:46,1902.902,17th St & Massachusetts Ave NW,Jefferson Dr & 14th St SW,Customer
1143361,5/14/2017 2:55,5/14/2017 4:12,4616.506,Eastern Market Metro / Pennsylvania Ave & 7th St SE,3rd & Tingey St SE,Subscriber
1173292,5/16/2017 7:11,5/16/2017 7:15,262.777,15th & W St NW,Massachusetts Ave & Dupont Circle NW,Subscriber
473103,3/9/2017 18:22,3/9/2017 18:28,361.8,New Hampshire Ave & 24th St NW,20th & O St NW / Dupont South,Subscriber
918697,4/22/2017 10:01,4/22/2017 10:07,361.885,1st & M St NE,Gallaudet / 8th St & Florida Ave NE,Subscriber
1586638,6/18/2017 11:49,6/18/2017 12:11,1342.256,Lincoln Memorial,17th & K St NW,Customer
436938,3/6/2017 8:45,3/6/2017 8:50,293.23,Convention Center / 7th & M St NW,Thomas Circle,Subscriber
1616770,6/21/2017 6:23,6/21/2017 6:26,175.323,6th St & Indiana Ave NW,3rd & H St NW,Subscriber
1588246,6/19/2017 1:25,6/19/2017 1:54,1719.652,4th St & Madison Dr NW,4th St & Madison Dr NW,Customer
1538467,6/15/2017 2:55,6/15/2017 3:23,1700.208,Smithsonian-National Mall / Jefferson Dr & 12th St SW,3rd & G St SE,Customer
1590751,6/19/2017 6:16,6/19/2017 6:21,301.176,Norfolk & Rugby Ave,Medical Center Metro ,Subscriber
625705,3/29/2017 15:23,3/29/2017 17:25,7353.351,USDA / 12th & Independence Ave SW,17th & G St NW,Customer
484381,3/11/2017 14:27,3/11/2017 14:42,876.689,14th & L St NW,M St & Pennsylvania Ave NW,Subscriber
1728768,6/29/2017 6:14,6/29/2017 6:20,382.512,8th & O St NW,15th & M St NW,Subscriber
352147,2/23/2017 16:11,2/23/2017 16:24,733.557,17th & Rhode Island Ave NW,Georgetown Harbor / 30th St NW,Subscriber
857242,4/17/2017 5:36,4/17/2017 6:32,3378.258,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW,Customer
989747,4/29/2017 5:10,4/29/2017 5:54,2673.333,Jefferson Memorial,Prince St & Union St,Customer
1086437,5/8/2017 4:22,5/8/2017 4:52,1781.746,3rd & Underwood St NW,M St & Delaware Ave NE,Subscriber
533434,3/20/2017 15:15,3/20/2017 16:59,6210.939,Washington & Independence Ave SW/HHS,New York Ave & 15th St NW,Customer
1238355,5/21/2017 6:56,5/21/2017 7:18,1296.529,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
994151,4/29/2017 9:32,4/29/2017 9:58,1594.43,Lincoln Memorial,17th St & Independence Ave SW,Customer
440999,3/6/2017 17:36,3/6/2017 17:51,924.631,1st & Rhode Island Ave NW,15th & L St NW,Subscriber
958604,4/27/2017 4:15,4/27/2017 4:25,604.05,10th & K St NW,Jefferson Dr & 14th St SW,Subscriber
607182,3/27/2017 19:15,3/27/2017 20:00,2666.072,Lynn & 19th St North,Maryland Ave & E St NE,Subscriber
1341671,5/31/2017 3:28,5/31/2017 4:43,4475.138,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
1122690,5/11/2017 6:02,5/11/2017 6:11,503.417,4th & East Capitol St NE,15th & F St NE,Subscriber
1231788,5/20/2017 12:30,5/20/2017 2:59,8943.026,3000 Connecticut Ave NW / National Zoo,3000 Connecticut Ave NW / National Zoo,Customer
276247,2/15/2017 12:37,2/15/2017 12:49,717.519,15th & L St NW,17th St & Massachusetts Ave NW,Subscriber
219010,2/7/2017 11:14,2/7/2017 11:26,740.165,Eckington Pl & Q St NE,5th St & Massachusetts Ave NW,Subscriber
734421,4/9/2017 1:11,4/9/2017 1:21,631.583,15th & P St NW,19th St & Constitution Ave NW,Subscriber
145152,1/27/2017 8:20,1/27/2017 8:34,829.233,New Hampshire Ave & T St NW,5th & K St NW,Subscriber
1570141,6/17/2017 7:08,6/17/2017 7:11,133.405,11th & F St NW,14th & G St NW,Subscriber
1662838,6/24/2017 10:46,6/24/2017 11:10,1415.43,17th St & Independence Ave SW,11th & F St NW,Customer
241137,2/9/2017 19:24,2/9/2017 19:33,513.289,5th & F St NW,2nd & G St NE,Subscriber
418872,3/3/2017 7:46,3/3/2017 7:54,523.295,17th & Corcoran St NW,18th & C St NW,Subscriber
952207,4/26/2017 8:04,4/26/2017 8:27,1372.098,Oklahoma Ave & D St NE,18th St & Pennsylvania Ave NW,Subscriber
1225092,5/20/2017 6:17,5/20/2017 7:16,3545.475,Massachusetts Ave & Dupont Circle NW,Jefferson Dr & 14th St SW,Customer
431012,3/5/2017 10:44,3/5/2017 10:50,323.008,16th & R St NW,Thomas Circle,Subscriber
1575233,6/17/2017 11:40,6/17/2017 11:49,531.774,New Jersey Ave & R St NW,M St & Delaware Ave NE,Subscriber
1357430,6/1/2017 6:02,6/1/2017 6:12,594.954,Virginia Square Metro / N Monroe St & 9th St N,Pershing & N George Mason Dr,Subscriber
568416,3/24/2017 12:09,3/24/2017 12:11,116.643,Fairfax Dr & Kenmore St,Fairfax Dr & Kenmore St,Subscriber
1651137,6/23/2017 12:32,6/23/2017 12:41,521.844,10th & G St NW,Thomas Circle,Subscriber
70450,1/15/2017 13:03,1/15/2017 13:34,1891.362,M St & Pennsylvania Ave NW,Convention Center / 7th & M St NW,Customer
1404446,6/4/2017 11:04,6/4/2017 11:25,1222.919,17th & G St NW,10th St & Constitution Ave NW,Customer
795912,4/13/2017 4:48,4/13/2017 5:25,2239.36,New York Ave & 15th St NW,8th & F St NW,Customer
66090,1/13/2017 19:42,1/13/2017 19:57,853.519,22nd & I St NW / Foggy Bottom,5th St & Massachusetts Ave NW,Subscriber
202882,2/5/2017 10:53,2/5/2017 11:19,1556.769,Hains Point/Buckeye & Ohio Dr SW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,Subscriber
700524,4/5/2017 6:46,4/5/2017 6:58,707.651,22nd & I St NW / Foggy Bottom,16th & K St NW,Subscriber
1038535,5/3/2017 3:57,5/3/2017 4:50,3189.059,10th & E St NW,4th & M St SW,Subscriber
906469,4/21/2017 5:34,4/21/2017 5:56,1352.186,10th & E St NW,18th & C St NW,Subscriber
1669650,6/25/2017 4:03,6/25/2017 5:22,4759.211,14th & G St NW,Market Square / King St & Royal St,Customer
28231,1/6/2017 21:30,1/6/2017 21:33,131.746,8th & O St NW,11th & O St NW,Subscriber
770171,4/11/2017 6:49,4/11/2017 7:31,2529.47,23rd & Crystal Dr,23rd & Crystal Dr,Customer
432102,3/5/2017 13:14,3/5/2017 13:23,493.063,5th & K St NW,7th & F St NW/Portrait Gallery,Customer
861245,4/17/2017 8:13,4/17/2017 8:18,328.753,1st & K St SE,Washington & Independence Ave SW/HHS,Subscriber
97973,1/19/2017 20:09,1/19/2017 20:24,897.091,10th & K St NW,Columbia Rd & Georgia Ave NW,Subscriber
1616024,6/21/2017 6:01,6/21/2017 6:04,213.337,27th & Crystal Dr,S Glebe & Potomac Ave,Subscriber
867220,4/18/2017 4:50,4/18/2017 5:03,785.91,New Hampshire Ave & T St NW,21st St & Pennsylvania Ave NW,Subscriber
614723,3/28/2017 17:01,3/28/2017 17:12,645.392,13th St & New York Ave NW,New Hampshire Ave & T St NW,Subscriber
1555438,6/16/2017 5:41,6/16/2017 6:01,1223.447,22nd St & Constitution Ave NW,4th & E St SW,Subscriber
994757,4/29/2017 10:00,4/29/2017 10:04,248.523,21st St N & N Pierce St,Lynn & 19th St North,Subscriber
920006,4/22/2017 12:54,4/22/2017 12:59,341.521,15th & W St NW,California St & Florida Ave NW,Subscriber
1368598,6/2/2017 4:11,6/2/2017 5:15,3847.469,19th St & Constitution Ave NW,4th & C St SW,Customer
1156646,5/15/2017 4:52,5/15/2017 4:58,368.65,Lynn & 19th St North,C & O Canal & Wisconsin Ave NW,Subscriber
749589,4/10/2017 1:25,4/10/2017 1:43,1079.993,Convention Center / 7th & M St NW,Georgia & New Hampshire Ave NW,Subscriber
1219998,5/20/2017 2:06,5/20/2017 2:30,1428.053,1st & K St SE,3rd & Tingey St SE,Customer
1554429,6/16/2017 5:04,6/16/2017 5:14,636.41,New Hampshire Ave & T St NW,Lamont & Mt Pleasant NW,Subscriber
1336938,5/30/2017 7:49,5/30/2017 7:56,411.886,18th & M St NW,20th & E St NW,Subscriber
487514,3/12/2017 11:38,3/12/2017 11:50,732.956,6th & H St NE,3rd & Tingey St SE,Subscriber
1443619,6/7/2017 12:03,6/7/2017 12:33,1774.998,3rd & Tingey St SE,3rd & Tingey St SE,Subscriber
1502718,6/12/2017 5:35,6/12/2017 5:46,687.08,12th & L St NW,Massachusetts Ave & Dupont Circle NW,Customer
1277434,5/25/2017 4:57,5/25/2017 5:14,1020.953,24th & N St NW,Park Rd & Holmead Pl NW,Subscriber
1285244,5/26/2017 4:18,5/26/2017 4:25,405.611,8th & O St NW,8th & F St NW,Subscriber
1046089,5/3/2017 8:26,5/3/2017 8:29,160.172,16th & R St NW,18th & R St NW,Subscriber
1006500,4/30/2017 7:32,4/30/2017 7:50,1049.676,15th & Crystal Dr,Columbia Pike & S Courthouse Rd,Subscriber
1669055,6/25/2017 3:32,6/25/2017 3:52,1213.131,Jefferson Dr & 14th St SW,Columbus Circle / Union Station,Customer
1589133,6/19/2017 2:58,6/19/2017 4:11,4356.676,14th & D St NW / Ronald Reagan Building,Lincoln Memorial,Customer
3197,1/1/2017 17:13,1/1/2017 17:59,2771.261,17th St & Independence Ave SW,Constitution Ave & 2nd St NW/DOL,Customer
212991,2/6/2017 17:26,2/6/2017 17:48,1320.07,17th & K St NW / Farragut Square,1st & M St NE,Subscriber
179014,2/1/2017 15:45,2/1/2017 16:04,1094.762,M St & New Jersey Ave SE,Columbus Circle / Union Station,Subscriber
336337,2/22/2017 6:18,2/22/2017 6:27,557.953,Columbus Circle / Union Station,M St & New Jersey Ave SE,Subscriber
1041950,5/3/2017 6:15,5/3/2017 7:55,5974.554,22nd & I St NW / Foggy Bottom,22nd & I St NW / Foggy Bottom,Customer
765205,4/11/2017 3:46,4/11/2017 5:03,4630.718,Henry Bacon Dr & Lincoln Memorial Circle NW,Jefferson Dr & 14th St SW,Customer
66103,1/13/2017 19:43,1/13/2017 19:52,584.908,22nd & P ST NW,New York Ave & 15th St NW,Customer
624449,3/29/2017 13:22,3/29/2017 13:47,1484.61,12th & Irving St NE,3rd & D St SE,Subscriber
349673,2/23/2017 11:59,2/23/2017 12:04,304.613,10th St & L'Enfant Plaza SW,4th & M St SW,Subscriber
472815,3/9/2017 18:10,3/9/2017 18:37,1658.728,8th & Eye St SE / Barracks Row,New York Ave & 15th St NW,Subscriber
1443277,6/7/2017 11:31,6/7/2017 11:49,1079.535,Columbia & Ontario Rd NW,17th & K St NW / Farragut Square,Customer
1728547,6/29/2017 6:07,6/29/2017 6:11,223.962,4th St & Madison Dr NW,4th & C St SW,Subscriber
1182435,5/17/2017 5:00,5/17/2017 5:04,242.568,New Hampshire Ave & 24th St NW,Georgetown Harbor / 30th St NW,Subscriber
43863,1/11/2017 8:33,1/11/2017 8:37,243.492,4th & W St NE,Rhode Island Ave Metro,Subscriber
993156,4/29/2017 8:35,4/29/2017 9:19,2650.18,1st & N St  SE,4th & East Capitol St NE,Customer
364581,2/24/2017 15:51,2/24/2017 16:09,1082.078,14th & Upshur St NW,Calvert St & Woodley Pl NW,Subscriber
507295,3/16/2017 19:41,3/16/2017 20:02,1269.968,17th & K St NW,Potomac & Pennsylvania Ave SE,Subscriber
1433830,6/7/2017 4:39,6/7/2017 4:56,1017.214,26th & S Clark St,Commonwealth Ave & Oak St,Subscriber
1725151,6/29/2017 3:17,6/29/2017 3:20,178.218,20th St & Florida Ave NW,New Hampshire Ave & T St NW,Subscriber
1001945,4/30/2017 3:11,4/30/2017 3:28,1004.862,17th St & Independence Ave SW,Georgetown Harbor / 30th St NW,Customer
226629,2/8/2017 7:35,2/8/2017 8:02,1664.594,21st St & Constitution Ave NW,3rd & H St NE,Customer
547728,3/21/2017 19:52,3/21/2017 20:00,528.196,21st St & Constitution Ave NW,17th & K St NW / Farragut Square,Subscriber
216698,2/7/2017 7:40,2/7/2017 7:50,632.905,15th & P St NW,20th & E St NW,Subscriber
208030,2/6/2017 7:27,2/6/2017 7:49,1333.562,14th St & Spring Rd NW,21st & I St NW,Subscriber
1261447,5/23/2017 9:50,5/23/2017 10:05,872.385,18th & R St NW,11th & M St NW,Subscriber
922901,4/23/2017 3:32,4/23/2017 3:39,391.923,Lincoln Park / 13th & East Capitol St NE ,Maryland Ave & E St NE,Subscriber
756811,4/10/2017 7:13,4/10/2017 7:17,239.752,King St & Patrick St,King St Metro North / Cameron St,Subscriber
350532,2/23/2017 13:23,2/23/2017 13:38,898.916,Jefferson Dr & 14th St SW,Lincoln Memorial,Customer
1532403,6/14/2017 8:04,6/14/2017 8:11,454.617,16th & R St NW,17th & G St NW,Subscriber
1495935,6/11/2017 9:57,6/11/2017 11:01,3836.839,Georgia Ave and Fairmont St NW,Henry Bacon Dr & Lincoln Memorial Circle NW,Customer
667639,4/2/2017 10:36,4/2/2017 10:44,522.247,S Arlington Mill Dr & Campbell Ave,28th St S & S Meade St,Subscriber
1307862,5/28/2017 2:46,5/28/2017 5:39,10428.441,USDA / 12th & Independence Ave SW,Hains Point/Buckeye & Ohio Dr SW,Customer
94130,1/19/2017 12:45,1/19/2017 12:51,401.885,Massachusetts Ave & Dupont Circle NW,21st & I St NW,Subscriber
181820,2/1/2017 19:16,2/1/2017 19:30,836.397,15th & P St NW,Calvert St & Woodley Pl NW,Subscriber
689425,4/4/2017 7:52,4/4/2017 8:00,526.355,3rd & H St NE,Neal St & Trinidad Ave NE,Subscriber
761021,4/10/2017 10:23,4/10/2017 10:28,289.519,14th & R St NW,Thomas Circle,Subscriber
72992,1/15/2017 17:35,1/15/2017 17:59,1477.905,17th St & Independence Ave SW,17th St & Independence Ave SW,Customer
140386,1/26/2017 15:55,1/26/2017 16:11,944.18,24th & N St NW,11th & Kenyon St NW,Subscriber
1519878,6/13/2017 8:17,6/13/2017 8:46,1753.371,Eastern Market / 7th & North Carolina Ave SE,15th & M St NW,Subscriber
533628,3/20/2017 15:39,3/20/2017 15:49,604.563,Thomas Circle,7th & T St NW,Subscriber
1712832,6/28/2017 5:29,6/28/2017 5:33,266.452,1st & Rhode Island Ave NW,1st & O St NW,Subscriber
686515,4/4/2017 6:10,4/4/2017 6:14,256.731,8th & East Capitol St NE,3rd St & Pennsylvania Ave SE,Subscriber
1255169,5/23/2017 4:58,5/23/2017 5:12,833.812,19th & L St NW,California St & Florida Ave NW,Subscriber
1695668,6/27/2017 3:57,6/27/2017 4:03,365.646,5th & F St NW,North Capitol St & F St NW,Subscriber
1224940,5/20/2017 6:09,5/20/2017 6:26,984.877,1st & M St NE,11th & S St NW,Customer
729980,4/8/2017 8:47,4/8/2017 8:58,637.402,10th & U St NW,8th & F St NW,Subscriber
1533139,6/14/2017 8:23,6/14/2017 8:34,607.336,3rd & D St SE,Columbus Circle / Union Station,Subscriber
360713,2/24/2017 10:11,2/24/2017 11:00,2921.997,Eastern Market Metro / Pennsylvania Ave & 7th St SE,10th & K St NW,Customer
945704,4/26/2017 3:32,4/26/2017 3:43,701.867,1st & Rhode Island Ave NW,8th & O St NW,Subscriber
778239,4/11/2017 12:49,4/11/2017 1:14,1488.08,24th & R St NE / National Arboretum,24th & R St NE / National Arboretum,Customer
186474,2/2/2017 13:11,2/2/2017 13:13,162.934,16th & Harvard St NW,14th & Irving St NW,Subscriber
24386,1/6/2017 9:04,1/6/2017 9:11,434.023,22nd & P ST NW,17th & K St NW / Farragut Square,Subscriber
1723636,6/28/2017 12:50,6/28/2017 1:03,767.794,15th & N Scott St,N Randolph St & Fairfax Dr,Customer
838879,4/15/2017 11:47,4/15/2017 11:56,513.342,20th St & Florida Ave NW,16th & Harvard St NW,Subscriber
1398221,6/4/2017 4:39,6/4/2017 7:16,9404.898,8th & H St NW,21st St & Pennsylvania Ave NW,Customer
308402,2/19/2017 12:45,2/19/2017 12:52,423.876,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW,Customer
55855,1/12/2017 17:41,1/12/2017 17:49,471.584,15th & P St NW,California St & Florida Ave NW,Subscriber
1276594,5/25/2017 3:59,5/25/2017 4:07,513.074,Wilson Blvd & Franklin Rd,Key Blvd & N Quinn St,Subscriber
91479,1/19/2017 5:30,1/19/2017 5:34,226.472,New Hampshire Ave & T St NW,15th & P St NW,Subscriber
32880,1/9/2017 8:08,1/9/2017 8:11,199.821,M St & New Jersey Ave SE,Potomac Ave & 8th St SE,Subscriber
801929,4/13/2017 7:56,4/13/2017 8:06,602.353,Adams Mill & Columbia Rd NW,17th & K St NW / Farragut Square,Subscriber
690082,4/4/2017 8:13,4/4/2017 8:20,393.32,Massachusetts Ave & Dupont Circle NW,15th & L St NW,Subscriber
813782,4/14/2017 5:27,4/14/2017 5:29,128.632,4th & C St SW,4th & C St SW,Customer
513687,3/17/2017 18:20,3/17/2017 18:29,573.37,Thomas Circle,10th & U St NW,Subscriber
54140,1/12/2017 15:34,1/12/2017 15:37,184.262,M St & Delaware Ave NE,Eckington Pl & Q St NE,Subscriber
297177,2/18/2017 12:52,2/18/2017 15:15,8545.117,7th & T St NW,17th St & Independence Ave SW,Customer
1304309,5/27/2017 10:37,5/27/2017 10:54,1003.541,18th St & Pennsylvania Ave NW,6th St & Indiana Ave NW,Customer
1147358,5/14/2017 6:21,5/14/2017 6:49,1703.343,N Pershing Dr & Wayne St,M St & Pennsylvania Ave NW,Customer
306987,2/19/2017 11:32,2/19/2017 13:07,5720.882,Henry Bacon Dr & Lincoln Memorial Circle NW,7th & F St NW/Portrait Gallery,Customer
1431595,6/6/2017 12:59,6/6/2017 1:16,1026.9,Washington & Independence Ave SW/HHS,10th & K St NW,Customer
824111,4/15/2017 1:04,4/15/2017 1:11,386.833,Metro Center / 12th & G St NW,11th & O St NW,Subscriber
1531945,6/14/2017 7:51,6/14/2017 7:55,279.02,Eastern Market / 7th & North Carolina Ave SE,8th & Eye St SE / Barracks Row,Subscriber
1372119,6/2/2017 6:28,6/2/2017 6:32,252.691,Takoma Metro,Carroll & Ethan Allen Ave,Subscriber
620613,3/29/2017 7:40,3/29/2017 7:48,488.29,14th & Harvard St NW,Calvert St & Woodley Pl NW,Subscriber
1201755,5/18/2017 8:35,5/18/2017 8:47,689.494,19th & G St NW,10th & G St NW,Subscriber
310289,2/19/2017 14:07,2/19/2017 14:23,956.554,Jefferson Memorial,17th St & Independence Ave SW,Customer
196177,2/3/2017 18:26,2/3/2017 18:32,372.895,Wisconsin Ave & Brandywine St NW,Friendship Blvd & Willard Ave,Subscriber
1731612,6/29/2017 7:43,6/29/2017 7:47,226.588,5th & K St NW,5th & F St NW,Subscriber
445526,3/7/2017 8:26,3/7/2017 8:50,1405.118,Saint Asaph & Madison St,Madison & Fairfax St,Customer
427665,3/4/2017 14:40,3/4/2017 14:45,280.143,Calvert St & Woodley Pl NW,Adams Mill & Columbia Rd NW,Subscriber
1016144,5/1/2017 5:34,5/1/2017 5:38,247.682,Wilson Blvd & N Uhle St,Clarendon Blvd & N Fillmore St,Subscriber
1421257,6/6/2017 5:28,6/6/2017 5:35,433.338,Neal St & Trinidad Ave NE,Columbus Circle / Union Station,Subscriber
1475042,6/10/2017 2:47,6/10/2017 2:52,269.23,20th & Crystal Dr,12th & Army Navy Dr,Subscriber
1159121,5/15/2017 6:16,5/15/2017 6:20,237.658,Convention Center / 7th & M St NW,7th & T St NW,Subscriber
1632288,6/22/2017 7:20,6/22/2017 7:22,119.445,Ripley & Bonifant St,Ripley & Bonifant St,Subscriber
1258889,5/23/2017 7:41,5/23/2017 7:52,685.316,Ballston Metro / N Stuart & 9th St N,Arlington Blvd & N Queen St,Subscriber
1330538,5/30/2017 2:03,5/30/2017 2:43,2395.732,Lincoln Memorial,Washington & Independence Ave SW/HHS,Customer
637604,3/30/2017 15:26,3/30/2017 15:32,396.141,17th & Rhode Island Ave NW,20th St & Florida Ave NW,Customer
1194485,5/18/2017 4:03,5/18/2017 4:14,672.244,19th & E Street NW,Thomas Circle,Subscriber
237716,2/9/2017 8:49,2/9/2017 9:00,664.968,13th & D St NE,North Capitol St & F St NW,Subscriber
1334831,5/30/2017 6:23,5/30/2017 6:44,1242.371,34th St & Wisconsin Ave NW,12th & U St NW,Subscriber
99606,1/20/2017 9:05,1/20/2017 9:14,520.901,15th & W St NW,20th & O St NW / Dupont South,Subscriber
1214772,5/19/2017 8:55,5/19/2017 9:03,480.64,5th St & Massachusetts Ave NW,4th & C St SW,Subscriber
1365965,6/1/2017 12:44,6/1/2017 12:54,648.644,8th & D St NW,Columbus Circle / Union Station,Subscriber
359767,2/24/2017 8:43,2/24/2017 8:52,569.802,Columbus Circle / Union Station,L'Enfant Plaza / 7th & C St SW,Customer
229529,2/8/2017 12:14,2/8/2017 12:18,232.566,3rd & H St NE,Columbus Circle / Union Station,Customer
1120752,5/10/2017 11:25,5/10/2017 11:43,1102.89,Lincoln Memorial,Lincoln Memorial,Customer
453894,3/8/2017 8:26,3/8/2017 8:36,600.352,1st & M St NE,1st & D St SE,Subscriber
1244468,5/22/2017 3:01,5/22/2017 3:09,501.44,18th & M St NW,31st & Water St NW,Subscriber
1701349,6/27/2017 7:20,6/27/2017 7:25,270.803,Braddock Rd Metro,Saint Asaph St & Pendleton  St,Subscriber
